Times (s)	Voltage (Volts)
4.350000	2.598192
4.355000	2.621235
4.360000	2.644603
4.365000	2.671217
4.370000	2.695234
4.375000	2.722496
4.380000	2.748136
4.385000	2.776048
4.390000	2.801364
4.395000	2.830249
4.400000	2.858485
4.405000	2.885099
4.410000	2.912037
4.415000	2.942545
4.420000	2.972405
4.425000	3.002588
4.430000	3.030500
4.435000	3.058087
4.440000	3.089245
4.445000	3.117806
4.450000	3.148639
4.455000	3.182392
4.460000	3.208357
4.465000	3.239190
4.470000	3.270022
4.475000	3.300855
4.480000	3.325522
4.485000	3.356030
4.490000	3.387836
4.495000	3.417046
4.500000	3.441063
4.505000	3.465405
4.510000	3.495589
4.515000	3.524150
4.520000	3.552386
4.525000	3.575105
4.530000	3.603666
4.535000	3.625411
4.540000	3.646507
4.545000	3.673446
4.550000	3.693893
4.555000	3.718883
4.560000	3.743550
4.565000	3.762699
4.570000	3.782496
4.575000	3.807487
4.580000	3.820469
4.585000	3.844162
4.590000	3.862337
4.595000	3.875319
4.600000	3.889924
4.605000	3.907126
4.610000	3.921082
4.615000	3.937310
4.620000	3.950941
4.625000	3.965871
4.630000	3.972037
4.635000	3.988914
4.640000	3.997028
4.645000	4.004493
4.650000	4.012931
4.655000	4.022992
4.660000	4.028834
4.665000	4.035001
4.670000	4.037597
4.675000	4.041168
4.680000	4.044413
4.685000	4.050255
4.690000	4.051229
4.695000	4.052527
4.700000	4.047334
4.705000	4.041817
4.710000	4.041168
4.715000	4.040518
4.720000	4.039220
4.725000	4.036624
4.730000	4.031431
4.735000	4.018449
4.740000	4.008387
4.745000	4.004817
4.750000	3.995730
4.755000	3.987940
4.760000	3.972686
4.765000	3.964572
4.770000	3.954836
4.775000	3.936661
4.780000	3.923678
4.785000	3.913617
4.790000	3.895442
4.795000	3.878890
4.800000	3.862337
4.805000	3.844487
4.810000	3.823715
4.815000	3.807487
4.820000	3.785417
4.825000	3.769190
4.830000	3.746471
4.835000	3.725050
4.840000	3.703629
4.845000	3.679288
4.850000	3.660139
4.855000	3.634499
4.860000	3.607885
4.865000	3.589061
4.870000	3.562447
4.875000	3.534860
4.880000	3.513439
4.885000	3.486826
4.890000	3.456642
4.895000	3.430353
4.900000	3.401468
4.905000	3.375503
4.910000	3.345969
4.915000	3.320653
4.920000	3.288198
4.925000	3.265154
4.930000	3.233997
4.935000	3.208357
4.940000	3.178173
4.945000	3.149937
4.950000	3.123323
4.955000	3.092490
4.960000	3.063929
4.965000	3.036991
4.970000	3.004211
4.975000	2.980843
4.980000	2.955852
4.985000	2.927940
4.990000	2.901651
4.995000	2.874713
5.000000	2.848749
5.005000	2.820188
5.010000	2.795846
5.015000	2.773127
5.020000	2.752356
5.025000	2.723795
5.030000	2.703997
5.035000	2.679980
5.040000	2.658234
5.045000	2.635840
5.050000	2.617665
5.055000	2.594297
5.060000	2.576122
5.065000	2.556973
5.070000	2.538473
5.075000	2.522895
5.080000	2.503097
5.085000	2.490439
5.090000	2.479079
5.095000	2.460255
5.100000	2.446299
5.105000	2.432668
5.110000	2.423905
5.115000	2.413844
5.120000	2.401511
5.125000	2.393072
5.130000	2.385932
5.135000	2.376195
5.140000	2.370678
5.145000	2.363213
5.150000	2.356722
5.155000	2.354125
5.160000	2.350231
5.165000	2.349906
5.170000	2.346336
5.175000	2.346011
5.180000	2.346336
5.185000	2.346985
5.190000	2.349582
5.195000	2.352503
5.200000	2.353476
5.205000	2.356722
5.210000	2.363213
5.215000	2.370678
5.220000	2.380414
5.225000	2.386906
5.230000	2.396642
5.235000	2.406054
5.240000	2.413844
5.245000	2.428449
5.250000	2.439159
5.255000	2.447598
5.260000	2.466746
5.265000	2.479079
5.270000	2.493684
5.275000	2.506342
5.280000	2.524842
5.285000	2.542368
5.290000	2.558271
5.295000	2.576122
5.300000	2.594621
5.305000	2.615393
5.310000	2.635515
5.315000	2.658234
5.320000	2.681278
5.325000	2.703348
5.330000	2.721523
5.335000	2.746838
5.340000	2.772478
5.345000	2.791302
5.350000	2.819214
5.355000	2.842258
5.360000	2.868222
5.365000	2.895160
5.370000	2.920151
5.375000	2.941896
5.380000	2.970133
5.385000	2.996097
5.390000	3.020763
5.395000	3.049324
5.400000	3.073991
5.405000	3.094762
5.410000	3.126569
5.415000	3.159024
5.420000	3.182068
5.425000	3.208357
5.430000	3.235944
5.435000	3.261909
5.440000	3.287224
5.445000	3.316109
5.450000	3.342398
5.455000	3.365766
5.460000	3.393354
5.465000	3.418669
5.470000	3.444958
5.475000	3.469624
5.480000	3.494940
5.485000	3.516685
5.490000	3.539079
5.495000	3.565368
5.500000	3.586789
5.505000	3.605613
5.510000	3.627034
5.515000	3.644885
5.520000	3.669875
5.525000	3.685454
5.530000	3.711419
5.535000	3.724076
5.540000	3.745497
5.545000	3.761400
5.550000	3.777628
5.555000	3.791584
5.560000	3.808461
5.565000	3.822741
5.570000	3.837346
5.575000	3.853250
5.580000	3.866556
5.585000	3.876618
5.590000	3.884407
5.595000	3.894468
5.600000	3.905503
5.605000	3.912968
5.610000	3.915564
5.615000	3.927573
5.620000	3.936985
5.625000	3.934064
5.630000	3.943152
5.635000	3.950941
5.640000	3.951915
5.645000	3.954836
5.650000	3.953537
5.655000	3.957432
5.660000	3.953213
5.665000	3.954187
5.670000	3.952888
5.675000	3.949643
5.680000	3.943152
5.685000	3.939257
5.690000	3.934389
5.695000	3.932117
5.700000	3.922056
5.705000	3.915889
5.710000	3.908424
5.715000	3.899012
5.720000	3.884732
5.725000	3.877591
5.730000	3.867855
5.735000	3.853899
5.740000	3.841241
5.745000	3.825987
5.750000	3.814303
5.755000	3.800672
5.760000	3.780874
5.765000	3.767891
5.770000	3.750690
5.775000	3.734462
5.780000	3.717585
5.785000	3.696165
5.790000	3.679937
5.795000	3.661437
5.800000	3.636771
5.805000	3.619894
5.810000	3.601070
5.815000	3.579000
5.820000	3.557255
5.825000	3.531615
5.830000	3.514738
5.835000	3.488124
5.840000	3.465730
5.845000	3.442686
5.850000	3.416073
5.855000	3.391082
5.860000	3.365442
