time (s) 	 Output Voltage(v) 	 Input Voltage(v)
2.04500000 	 6.35200645 	 2.12206782 
2.05000000 	 6.36661147 	 2.12758527 
2.05500000 	 6.38348839 	 2.13212906 
2.06000000 	 6.39744430 	 2.13667284 
2.06500000 	 6.41367210 	 2.14121662 
2.07000000 	 6.42827712 	 2.14673408 
2.07500000 	 6.44255758 	 2.15322520 
2.08000000 	 6.45716260 	 2.15647076 
2.08500000 	 6.47079396 	 2.16198821 
2.09000000 	 6.48831998 	 2.16718111 
2.09500000 	 6.50357412 	 2.17204945 
2.10000000 	 6.51850369 	 2.17691779 
2.10500000 	 6.53310871 	 2.18211068 
2.11000000 	 6.54674007 	 2.18665447 
2.11500000 	 6.56102053 	 2.19217192 
2.12000000 	 6.57789744 	 2.19639115 
2.12500000 	 6.59282702 	 2.20223316 
2.13000000 	 6.60840571 	 2.20807517 
2.13500000 	 6.62236162 	 2.21261895 
2.14000000 	 6.63696664 	 2.21651362 
2.14500000 	 6.65254533 	 2.22300474 
2.15000000 	 6.66812402 	 2.22754853 
2.15500000 	 6.68175537 	 2.23274142 
2.16000000 	 6.69733406 	 2.23663609 
2.16500000 	 6.71258819 	 2.24215355 
2.17000000 	 6.72751777 	 2.24767100 
2.17500000 	 6.74277190 	 2.25286390 
2.18000000 	 6.75737692 	 2.25740768 
2.18500000 	 6.77165739 	 2.26097780 
2.19000000 	 6.78723608 	 2.26746892 
2.19500000 	 6.80249021 	 2.27233726 
2.20000000 	 6.81774434 	 2.27720560 
2.20500000 	 6.83234937 	 2.28272305 
2.21000000 	 6.84825261 	 2.28694228 
2.21500000 	 6.86123485 	 2.29245973 
2.22000000 	 6.87713810 	 2.29732807 
2.22500000 	 6.89369045 	 2.30219641 
2.23000000 	 6.90699725 	 2.30738931 
2.23500000 	 6.92160227 	 2.31160854 
2.24000000 	 6.93783007 	 2.31680143 
2.24500000 	 6.95308421 	 2.32199433 
2.25000000 	 6.96736467 	 2.32718723 
2.25500000 	 6.98132058 	 2.33238012 
2.26000000 	 6.99657471 	 2.33692391 
2.26500000 	 7.01150429 	 2.34211680 
2.27000000 	 7.02643387 	 2.34730970 
2.27500000 	 7.04233711 	 2.35120437 
2.28000000 	 7.05629302 	 2.35704638 
2.28500000 	 7.07154715 	 2.36126561 
2.29000000 	 7.08745040 	 2.36678306 
2.29500000 	 7.10173086 	 2.37100229 
2.30000000 	 7.11828322 	 2.37651974 
2.30500000 	 7.13256369 	 2.38171264 
2.31000000 	 7.14716871 	 2.38787920 
2.31500000 	 7.16177373 	 2.39209843 
2.32000000 	 7.17735242 	 2.39761588 
2.32500000 	 7.19130833 	 2.40215967 
2.33000000 	 7.20818524 	 2.40735256 
2.33500000 	 7.22246570 	 2.41124723 
2.34000000 	 7.23609706 	 2.41708924 
2.34500000 	 7.25200030 	 2.42163303 
2.35000000 	 7.26595621 	 2.42747504 
2.35500000 	 7.28250857 	 2.43234338 
2.36000000 	 7.29678903 	 2.43753627 
2.36500000 	 7.31106950 	 2.44110639 
2.37000000 	 7.32697274 	 2.44759751 
2.37500000 	 7.34125321 	 2.45214129 
2.38000000 	 7.35553367 	 2.45700963 
2.38500000 	 7.37176147 	 2.46220253 
2.39000000 	 7.38701561 	 2.46739543 
2.39500000 	 7.40162063 	 2.47291288 
2.40000000 	 7.41557654 	 2.47648300 
2.40500000 	 7.43147978 	 2.48264956 
2.41000000 	 7.44705847 	 2.48686879 
2.41500000 	 7.46231260 	 2.49206168 
2.42000000 	 7.47594396 	 2.49757914 
2.42500000 	 7.49119809 	 2.50179836 
2.43000000 	 7.50482944 	 2.50634215 
2.43500000 	 7.52138180 	 2.51250871 
2.44000000 	 7.53663593 	 2.51705250 
2.44500000 	 7.55189007 	 2.52192084 
2.45000000 	 7.56617053 	 2.52743829 
2.45500000 	 7.58272289 	 2.53198207 
2.46000000 	 7.59538057 	 2.53749953 
2.46500000 	 7.61160837 	 2.54236787 
2.47000000 	 7.62588884 	 2.54756076 
2.47500000 	 7.64179208 	 2.55275366 
2.48000000 	 7.65574799 	 2.55729744 
2.48500000 	 7.67100213 	 2.56151667 
2.49000000 	 7.68593170 	 2.56768324 
2.49500000 	 7.70151039 	 2.57255158 
2.50000000 	 7.71676453 	 2.57709536 
2.50500000 	 7.73169410 	 2.58261281 
2.51000000 	 7.74629912 	 2.58715660 
2.51500000 	 7.76187781 	 2.59234950 
2.52000000 	 7.77648283 	 2.59689328 
2.52500000 	 7.79011419 	 2.60208618 
2.53000000 	 7.80504376 	 2.60727907 
2.53500000 	 7.82094701 	 2.61279652 
2.54000000 	 7.83685025 	 2.61701575 
2.54500000 	 7.85177983 	 2.62188409 
2.55000000 	 7.86573574 	 2.62707699 
2.55500000 	 7.88098987 	 2.63162077 
2.56000000 	 7.89591945 	 2.63778734 
2.56500000 	 7.91052447 	 2.64233112 
2.57000000 	 7.92383127 	 2.64752402 
2.57500000 	 7.94135729 	 2.65141869 
2.58000000 	 7.95661143 	 2.65726070 
2.58500000 	 7.97121645 	 2.66180448 
