time (s) 	 Voltage output 	 Flowrate (scfm) 
3.065000 	 3.398930 	 6.147456 
3.070000 	 3.398930 	 6.147456 
3.075000 	 3.398930 	 6.147456 
3.080000 	 3.409114 	 6.177151 
3.085000 	 3.419299 	 6.206704 
3.090000 	 3.409114 	 6.177151 
3.095000 	 3.409114 	 6.177151 
3.100000 	 3.409114 	 6.177151 
3.105000 	 3.388745 	 6.117616 
3.110000 	 3.398930 	 6.147456 
3.115000 	 3.398930 	 6.147456 
3.120000 	 3.388745 	 6.117616 
3.125000 	 3.398930 	 6.147456 
3.130000 	 3.398930 	 6.147456 
3.135000 	 3.398930 	 6.147456 
3.140000 	 3.398930 	 6.147456 
3.145000 	 3.398930 	 6.147456 
3.150000 	 3.398930 	 6.147456 
3.155000 	 3.398930 	 6.147456 
3.160000 	 3.398930 	 6.147456 
3.165000 	 3.398930 	 6.147456 
3.170000 	 3.398930 	 6.147456 
3.175000 	 3.388745 	 6.117616 
3.180000 	 3.398930 	 6.147456 
3.185000 	 3.398930 	 6.147456 
3.190000 	 3.398930 	 6.147456 
3.195000 	 3.409114 	 6.177151 
3.200000 	 3.398930 	 6.147456 
3.205000 	 3.419299 	 6.206704 
3.210000 	 3.409114 	 6.177151 
3.215000 	 3.398930 	 6.147456 
3.220000 	 3.409114 	 6.177151 
3.225000 	 3.398930 	 6.147456 
3.230000 	 3.409114 	 6.177151 
3.235000 	 3.409114 	 6.177151 
3.240000 	 3.409114 	 6.177151 
3.245000 	 3.398930 	 6.147456 
3.250000 	 3.419299 	 6.206704 
3.255000 	 3.409114 	 6.177151 
3.260000 	 3.409114 	 6.177151 
3.265000 	 3.419299 	 6.206704 
3.270000 	 3.398930 	 6.147456 
3.275000 	 3.409114 	 6.177151 
3.280000 	 3.398930 	 6.147456 
3.285000 	 3.398930 	 6.147456 
3.290000 	 3.398930 	 6.147456 
3.295000 	 3.398930 	 6.147456 
3.300000 	 3.419299 	 6.206704 
3.305000 	 3.419299 	 6.206704 
3.310000 	 3.419299 	 6.206704 
3.315000 	 3.409114 	 6.177151 
3.320000 	 3.419299 	 6.206704 
3.325000 	 3.409114 	 6.177151 
3.330000 	 3.398930 	 6.147456 
3.335000 	 3.398930 	 6.147456 
3.340000 	 3.398930 	 6.147456 
3.345000 	 3.398930 	 6.147456 
3.350000 	 3.398930 	 6.147456 
3.355000 	 3.398930 	 6.147456 
3.360000 	 3.398930 	 6.147456 
3.365000 	 3.409114 	 6.177151 
3.370000 	 3.419299 	 6.206704 
3.375000 	 3.409114 	 6.177151 
3.380000 	 3.419299 	 6.206704 
3.385000 	 3.409114 	 6.177151 
3.390000 	 3.398930 	 6.147456 
3.395000 	 3.398930 	 6.147456 
3.400000 	 3.398930 	 6.147456 
3.405000 	 3.398930 	 6.147456 
3.410000 	 3.398930 	 6.147456 
3.415000 	 3.398930 	 6.147456 
3.420000 	 3.409114 	 6.177151 
3.425000 	 3.419299 	 6.206704 
3.430000 	 3.398930 	 6.147456 
3.435000 	 3.419299 	 6.206704 
3.440000 	 3.419299 	 6.206704 
3.445000 	 3.398930 	 6.147456 
3.450000 	 3.398930 	 6.147456 
3.455000 	 3.398930 	 6.147456 
3.460000 	 3.398930 	 6.147456 
