Times (s),Voltage (Volts)
0.483000,94.161428,0.193005 
0.484000,94.207842,0.162184 
0.485000,94.277463,0.193005 
0.486000,94.254256,0.316286 
0.487000,94.207842,0.300876 
0.488000,94.370290,0.300876 
0.489000,94.277463,0.131364 
0.490000,94.277463,0.300876 
0.491000,94.254256,0.193005 
0.492000,94.254256,0.115954 
0.493000,94.254256,0.239235 
0.494000,94.254256,0.193005 
0.495000,94.207842,0.285465 
0.496000,94.254256,0.316286 
0.497000,94.207842,0.254645 
0.498000,94.184635,0.223825 
0.499000,94.184635,0.193005 
0.500000,94.207842,0.131364 
0.501000,94.207842,0.239235 
0.502000,94.207842,0.300876 
0.503000,94.207842,0.208415 
0.504000,94.184635,0.239235 
0.505000,94.184635,0.331696 
0.506000,94.138221,0.223825 
0.507000,94.184635,0.362516 
0.508000,94.161428,0.362516 
0.509000,94.115015,0.208415 
0.510000,94.138221,0.193005 
0.511000,94.161428,0.208415 
0.512000,94.091808,0.208415 
0.513000,94.091808,0.285465 
0.514000,94.138221,0.285465 
0.515000,94.091808,0.270055 
0.516000,94.161428,0.331696 
0.517000,94.161428,0.270055 
0.518000,94.184635,0.131364 
0.519000,94.068601,0.254645 
0.520000,94.068601,0.115954 
0.521000,94.091808,0.300876 
0.522000,94.045394,0.239235 
0.523000,94.068601,0.285465 
0.524000,94.045394,0.223825 
0.525000,94.045394,0.239235 
0.526000,94.068601,0.316286 
0.527000,94.138221,0.162184 
0.528000,94.045394,0.239235 
0.529000,94.022187,0.208415 
0.530000,94.091808,0.193005 
0.531000,93.975773,0.162184 
0.532000,94.045394,0.177594 
0.533000,93.998980,0.316286 
0.534000,93.975773,0.223825 
0.535000,93.998980,0.208415 
0.536000,93.998980,0.146774 
0.537000,93.975773,0.254645 
0.538000,93.975773,0.085133 
0.539000,93.998980,0.254645 
0.540000,94.022187,0.193005 
0.541000,93.975773,0.300876 
0.542000,94.045394,0.270055 
0.543000,94.045394,0.208415 
0.544000,94.022187,0.115954 
0.545000,94.022187,0.131364 
0.546000,94.045394,0.115954 
0.547000,93.998980,0.131364 
0.548000,94.091808,0.208415 
0.549000,93.998980,0.100544 
0.550000,93.952566,0.162184 
0.551000,93.998980,0.115954 
0.552000,93.998980,0.177594 
0.553000,93.929360,0.254645 
0.554000,93.998980,0.223825 
0.555000,93.998980,0.208415 
0.556000,94.022187,0.146774 
0.557000,93.952566,0.131364 
0.558000,93.998980,0.115954 
0.559000,93.975773,0.177594 
0.560000,93.952566,0.223825 
0.561000,93.975773,0.162184 
0.562000,93.952566,0.254645 
0.563000,93.952566,0.223825 
0.564000,93.929360,0.254645 
0.565000,93.975773,0.331696 
0.566000,93.906153,0.008083 
0.567000,93.998980,0.085133 
0.568000,93.998980,0.162184 
0.569000,93.952566,0.239235 
0.570000,93.998980,0.208415 
0.571000,93.929360,0.239235 
0.572000,93.929360,0.270055 
0.573000,93.952566,0.223825 
0.574000,93.952566,0.115954 
0.575000,93.975773,0.254645 
0.576000,93.975773,0.208415 
0.577000,93.929360,0.208415 
0.578000,93.975773,0.254645 
0.579000,93.952566,0.223825 
0.580000,93.998980,0.177594 
0.581000,93.975773,0.131364 
0.582000,93.952566,0.131364 
0.583000,93.952566,0.177594 
0.584000,93.952566,0.193005 
0.585000,93.906153,0.239235 
0.586000,93.952566,0.085133 
0.587000,93.975773,0.115954 
0.588000,93.929360,0.177594 
0.589000,93.975773,0.115954 
0.590000,93.929360,0.223825 
0.591000,94.045394,0.177594 
0.592000,93.975773,0.223825 
0.593000,93.952566,0.223825 
0.594000,93.952566,0.162184 
0.595000,94.045394,0.162184 
0.596000,93.998980,0.300876 
0.597000,93.952566,0.270055 
0.598000,93.998980,0.085133 
0.599000,93.975773,0.316286 
0.600000,93.998980,0.208415 
0.601000,94.068601,0.162184 
0.602000,94.022187,0.239235 
0.603000,94.022187,0.100544 
0.604000,93.975773,0.131364 
0.605000,94.045394,0.177594 
0.606000,94.022187,0.254645 
0.607000,94.045394,0.193005 
0.608000,93.952566,0.054313 
0.609000,94.045394,0.162184 
0.610000,94.045394,0.177594 
0.611000,94.022187,0.254645 
0.612000,94.022187,0.239235 
0.613000,93.929360,0.208415 
0.614000,93.975773,0.208415 
0.615000,93.975773,0.254645 
0.616000,93.998980,0.146774 
0.617000,93.975773,0.316286 
0.618000,93.975773,0.270055 
0.619000,93.929360,0.208415 
0.620000,93.952566,0.162184 
0.621000,93.929360,0.162184 
0.622000,93.975773,0.115954 
0.623000,93.975773,0.300876 
0.624000,93.975773,0.131364 
0.625000,93.975773,0.208415 
0.626000,93.975773,0.223825 
0.627000,93.906153,0.223825 
0.628000,93.952566,0.131364 
0.629000,93.929360,0.239235 
0.630000,93.906153,0.347106 
0.631000,93.882946,0.193005 
0.632000,93.952566,0.239235 
0.633000,93.952566,0.285465 
0.634000,93.906153,0.208415 
0.635000,93.952566,0.223825 
0.636000,93.952566,0.223825 
0.637000,93.952566,0.239235 
0.638000,93.975773,0.193005 
0.639000,93.906153,0.254645 
0.640000,93.929360,0.115954 
0.641000,93.882946,0.131364 
0.642000,93.952566,0.300876 
0.643000,93.952566,0.162184 
0.644000,93.975773,0.316286 
0.645000,93.952566,0.331696 
0.646000,93.929360,0.208415 
0.647000,93.929360,0.239235 
0.648000,93.952566,0.316286 
0.649000,93.906153,0.177594 
0.650000,93.952566,0.285465 
0.651000,93.859739,0.177594 
0.652000,93.882946,0.131364 
0.653000,93.906153,0.270055 
0.654000,93.906153,0.193005 
0.655000,93.882946,0.193005 
0.656000,93.929360,0.239235 
0.657000,93.906153,0.069723 
0.658000,93.906153,0.239235 
0.659000,93.906153,0.239235 
0.660000,93.836532,0.193005 
0.661000,93.882946,0.177594 
0.662000,93.859739,0.131364 
0.663000,93.859739,0.223825 
0.664000,93.906153,0.069723 
0.665000,93.906153,0.316286 
0.666000,93.906153,0.162184 
0.667000,93.882946,0.223825 
0.668000,93.929360,0.223825 
0.669000,93.859739,0.208415 
0.670000,93.952566,0.223825 
0.671000,93.906153,0.069723 
0.672000,93.882946,0.177594 
0.673000,93.882946,0.115954 
0.674000,93.929360,0.115954 
0.675000,93.929360,0.270055 
0.676000,93.998980,0.223825 
0.677000,93.952566,0.270055 
0.678000,93.906153,0.285465 
0.679000,93.929360,0.316286 
0.680000,93.929360,0.223825 
0.681000,93.929360,0.146774 
0.682000,93.952566,0.193005 
0.683000,93.975773,0.162184 
0.684000,93.952566,0.162184 
0.685000,93.952566,0.069723 
0.686000,93.952566,0.208415 
0.687000,93.975773,0.100544 
0.688000,93.906153,0.223825 
0.689000,93.952566,0.347106 
0.690000,93.929360,0.285465 
0.691000,93.929360,0.270055 
0.692000,93.998980,0.115954 
0.693000,93.975773,0.254645 
0.694000,93.975773,0.131364 
0.695000,94.022187,0.177594 
0.696000,94.022187,0.254645 
0.697000,94.022187,0.239235 
0.698000,94.022187,0.193005 
0.699000,94.068601,0.239235 
0.700000,94.068601,0.285465 
0.701000,94.115015,0.208415 
0.702000,94.138221,0.208415 
0.703000,94.161428,0.239235 
0.704000,94.184635,0.285465 
0.705000,94.207842,0.347106 
0.706000,94.254256,0.131364 
0.707000,94.231049,0.223825 
0.708000,94.207842,0.223825 
0.709000,94.300670,0.146774 
0.710000,94.184635,0.208415 
0.711000,94.323876,0.285465 
0.712000,94.347083,0.223825 
0.713000,94.347083,0.146774 
0.714000,94.347083,0.254645 
0.715000,94.393497,0.254645 
0.716000,94.416704,0.270055 
0.717000,94.439911,0.331696 
0.718000,94.416704,0.254645 
0.719000,94.486325,0.223825 
0.720000,94.439911,0.208415 
0.721000,94.532738,0.254645 
0.722000,94.509531,0.300876 
0.723000,94.555945,0.193005 
0.724000,94.555945,0.162184 
0.725000,94.555945,0.362516 
0.726000,94.532738,0.223825 
0.727000,94.602359,0.239235 
0.728000,94.648773,0.208415 
0.729000,94.648773,0.239235 
0.730000,94.671980,0.223825 
0.731000,94.741600,0.208415 
0.732000,94.718393,0.146774 
0.733000,94.741600,0.254645 
0.734000,94.741600,0.347106 
0.735000,94.857635,0.270055 
0.736000,94.834428,0.254645 
0.737000,94.996876,0.300876 
0.738000,95.020083,0.316286 
0.739000,95.020083,0.316286 
0.740000,95.066496,0.347106 
0.741000,95.020083,0.347106 
0.742000,94.996876,0.393337 
0.743000,95.066496,0.377926 
0.744000,95.066496,0.377926 
0.745000,95.089703,0.408747 
0.746000,95.136117,0.362516 
0.747000,95.159324,0.424157 
0.748000,95.159324,0.408747 
0.749000,95.205738,0.408747 
0.750000,95.252151,0.347106 
0.751000,95.205738,0.270055 
0.752000,95.275358,0.177594 
0.753000,95.344979,0.316286 
0.754000,95.298565,0.439567 
0.755000,95.368186,0.270055 
0.756000,95.321772,0.362516 
0.757000,95.391393,0.393337 
0.758000,95.368186,0.393337 
0.759000,95.321772,0.362516 
0.760000,95.368186,0.377926 
0.761000,95.437806,0.408747 
0.762000,95.461013,0.424157 
0.763000,95.414600,0.393337 
0.764000,95.414600,0.393337 
0.765000,95.484220,0.470387 
0.766000,95.530634,0.532028 
0.767000,95.507427,0.331696 
0.768000,95.577048,0.454977 
0.769000,95.577048,0.347106 
0.770000,95.669875,0.362516 
0.771000,95.646668,0.377926 
0.772000,95.623461,0.408747 
0.773000,95.739496,0.547438 
0.774000,95.693082,0.454977 
0.775000,95.716289,0.377926 
0.776000,95.739496,0.377926 
0.777000,95.785910,0.454977 
