time (s) 	 Temperature (C) 
0.998000 	 36.171173 
0.999000 	 36.044266 
1.000000 	 36.234626 
1.001000 	 36.012539 
1.002000 	 36.139446 
1.003000 	 36.139446 
1.004000 	 35.917359 
1.005000 	 36.234626 
1.006000 	 36.139446 
1.007000 	 36.075993 
1.008000 	 35.917359 
1.009000 	 36.107719 
1.010000 	 36.424987 
1.011000 	 36.298080 
1.012000 	 36.298080 
1.013000 	 36.329807 
1.014000 	 36.171173 
1.015000 	 36.075993 
1.016000 	 36.171173 
1.017000 	 36.361533 
1.018000 	 36.139446 
1.019000 	 36.075993 
1.020000 	 36.361533 
1.021000 	 36.044266 
1.022000 	 36.266353 
1.023000 	 36.075993 
1.024000 	 36.171173 
1.025000 	 36.171173 
1.026000 	 36.234626 
1.027000 	 36.139446 
1.028000 	 36.202900 
1.029000 	 36.266353 
1.030000 	 36.234626 
1.031000 	 36.266353 
1.032000 	 36.171173 
1.033000 	 36.044266 
1.034000 	 36.202900 
1.035000 	 36.107719 
1.036000 	 36.298080 
1.037000 	 36.456714 
1.038000 	 36.424987 
1.039000 	 36.171173 
1.040000 	 36.139446 
1.041000 	 36.329807 
1.042000 	 36.202900 
1.043000 	 36.234626 
1.044000 	 36.266353 
1.045000 	 36.298080 
1.046000 	 36.139446 
1.047000 	 36.202900 
1.048000 	 36.329807 
1.049000 	 36.234626 
1.050000 	 35.980812 
1.051000 	 36.171173 
1.052000 	 36.202900 
1.053000 	 36.234626 
1.054000 	 36.329807 
1.055000 	 36.329807 
1.056000 	 36.075993 
1.057000 	 36.171173 
1.058000 	 36.266353 
1.059000 	 36.202900 
1.060000 	 36.234626 
1.061000 	 36.139446 
1.062000 	 36.266353 
1.063000 	 36.361533 
1.064000 	 36.171173 
1.065000 	 36.107719 
1.066000 	 36.393260 
1.067000 	 36.234626 
1.068000 	 36.044266 
1.069000 	 36.107719 
