time (s) 	 Voltage (V) 
0.505000 	 5.534939 
0.506000 	 5.547814 
0.507000 	 5.559401 
0.508000 	 5.572275 
0.509000 	 5.585150 
0.510000 	 5.598024 
0.511000 	 5.609611 
0.512000 	 5.622485 
0.513000 	 5.634072 
0.514000 	 5.645659 
0.515000 	 5.659821 
0.516000 	 5.672696 
0.517000 	 5.684283 
0.518000 	 5.697157 
0.519000 	 5.708744 
0.520000 	 5.721618 
0.521000 	 5.734493 
0.522000 	 5.746080 
0.523000 	 5.757667 
0.524000 	 5.770541 
0.525000 	 5.783416 
0.526000 	 5.795003 
0.527000 	 5.807877 
0.528000 	 5.819464 
0.529000 	 5.832338 
0.530000 	 5.842638 
0.531000 	 5.856800 
0.532000 	 5.869674 
0.533000 	 5.881261 
0.534000 	 5.892848 
0.535000 	 5.905723 
0.536000 	 5.917310 
0.537000 	 5.930184 
0.538000 	 5.941771 
0.539000 	 5.953358 
0.540000 	 5.966232 
0.541000 	 5.979107 
0.542000 	 5.991981 
0.543000 	 6.003568 
0.544000 	 6.016443 
0.545000 	 6.028030 
0.546000 	 6.039617 
0.547000 	 6.051204 
0.548000 	 6.064078 
0.549000 	 6.076952 
0.550000 	 6.088539 
0.551000 	 6.100126 
0.552000 	 6.111713 
0.553000 	 6.124588 
0.554000 	 6.136175 
0.555000 	 6.149049 
0.556000 	 6.160636 
0.557000 	 6.172223 
0.558000 	 6.185098 
0.559000 	 6.196685 
0.560000 	 6.208272 
0.561000 	 6.219859 
0.562000 	 6.232733 
0.563000 	 6.244320 
0.564000 	 6.255907 
0.565000 	 6.268781 
0.566000 	 6.277793 
0.567000 	 6.291955 
0.568000 	 6.303542 
0.569000 	 6.315129 
0.570000 	 6.328004 
0.571000 	 6.340878 
0.572000 	 6.351178 
0.573000 	 6.364052 
0.574000 	 6.374352 
0.575000 	 6.387226 
0.576000 	 6.398813 
0.577000 	 6.409113 
0.578000 	 6.421987 
0.579000 	 6.433574 
0.580000 	 6.446448 
0.581000 	 6.456748 
0.582000 	 6.468335 
0.583000 	 6.479922 
0.584000 	 6.492796 
0.585000 	 6.503096 
0.586000 	 6.514683 
0.587000 	 6.524982 
0.588000 	 6.539144 
0.589000 	 6.549444 
0.590000 	 6.559743 
0.591000 	 6.572618 
0.592000 	 6.584205 
0.593000 	 6.597079 
0.594000 	 6.607379 
0.595000 	 6.617678 
0.596000 	 6.631840 
0.597000 	 6.642140 
0.598000 	 6.651152 
0.599000 	 6.664026 
0.600000 	 6.675613 
0.601000 	 6.688488 
0.602000 	 6.698787 
0.603000 	 6.710374 
0.604000 	 6.721961 
0.605000 	 6.733548 
0.606000 	 6.745135 
0.607000 	 6.755435 
0.608000 	 6.767022 
0.609000 	 6.777321 
0.610000 	 6.788908 
0.611000 	 6.800495 
0.612000 	 6.812082 
0.613000 	 6.821094 
0.614000 	 6.833969 
0.615000 	 6.844268 
0.616000 	 6.855855 
0.617000 	 6.866155 
0.618000 	 6.879029 
0.619000 	 6.889329 
0.620000 	 6.900916 
0.621000 	 6.911215 
0.622000 	 6.922802 
0.623000 	 6.933102 
0.624000 	 6.944689 
0.625000 	 6.954988 
0.626000 	 6.967863 
0.627000 	 6.976875 
0.628000 	 6.988462 
0.629000 	 6.998761 
0.630000 	 7.007773 
0.631000 	 7.020648 
0.632000 	 7.032235 
0.633000 	 7.042534 
0.634000 	 7.051546 
0.635000 	 7.065708 
0.636000 	 7.074720 
0.637000 	 7.085020 
0.638000 	 7.095319 
0.639000 	 7.106906 
0.640000 	 7.117206 
0.641000 	 7.127505 
0.642000 	 7.137805 
0.643000 	 7.149392 
0.644000 	 7.160979 
0.645000 	 7.169991 
